name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,teamImage,fantraxPPR,sleeperPPR,espnPPR,yahooPPR,underdogHalfPPR,sleeperHalfPPR,fantraxStandard,sleeperStandard,consensusPPR,consensusHalfPPR,consensusStandard,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury
Kyren Williams,RB,LA,0.0,0.0,0.0,999.5,9.5,26.0,187.0,1.0,0.0,https://assets.actionnetwork.com/200x200/dd78e04bfc18425c85021803bd5fea35.png,https://assets.actionnetwork.com/524632_rams.png,28,31,42,30.0,33.0,28,0.0,18.0,30,31,18.0,207.65,0,0,0,,0,0,0,0,0,
Omarion Hampton,RB,LAC,0.0,0.0,0.0,925.5,7.5,35.0,266.0,1.0,0.0,https://assets.actionnetwork.com/200x200/fd2b8533cafc45fcabb03986653c9c27.png,https://static.sprtactn.co/teamlogos/nfl/100/sd.png,16,16,22,19.0,15.0,15,0.0,19.0,17,15,19.0,205.15,0,0,0,,0,0,0,0,0,
Quinshon Judkins,RB,CLE,0.0,0.0,0.0,900.5,6.5,29.5,216.0,1.0,0.0,https://assets.actionnetwork.com/200x200/608c45da8aa54561bffbac17d68eaae7.png,https://assets.actionnetwork.com/519602_browns.png,53,52,54,54.0,54.0,47,0.0,45.0,53,50,45.0,186.15,0,0,0,,0,0,0,0,0,
Rhamondre Stevenson,RB,NE,0.0,0.0,0.0,624.5,5.5,32.5,242.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0d94956d0d5a45ea95cb7f3e91e8a521.png,https://static.sprtactn.co/teamlogos/nfl/100/ne.png,85,87,112,84.0,75.0,77,0.0,71.0,86,76,71.0,158.15,0,0,0,,0,0,0,0,0,
Rico Dowdle,RB,PIT,0.0,0.0,0.0,750.5,4.5,23.5,167.0,1.0,0.0,https://assets.actionnetwork.com/200x200/3158013ec99c46d6b39cb5ba85e9c0b7.png,https://static.sprtactn.co/teamlogos/nfl/100/pit.png,92,86,109,85.0,88.0,85,0.0,74.0,89,86,74.0,148.25,0,0,0,,0,0,0,0,0,
Saquon Barkley,RB,PHI,0.0,0.0,0.0,1099.5,7.5,34.0,250.5,1.5,0.0,https://assets.actionnetwork.com/200x200/00b49214b0094e6a8b4718b2b9a50033.png,https://static.sprtactn.co/teamlogos/nfl/100/phi.png,16,14,17,13.0,14.0,13,0.0,14.0,15,13,14.0,223.0,0,0,0,,0,0,0,0,0,
Tony Pollard,RB,TEN,0.0,0.0,0.0,800.5,5.5,26.0,158.0,0.5,0.0,https://assets.actionnetwork.com/200x200/ab1dc56a759d4fde9387868b52d94d50.png,https://assets.actionnetwork.com/683711_titans.png,78,88,89,87.0,76.0,79,0.0,78.0,88,77,78.0,157.85,0,0,0,,0,0,0,0,0,
Travis Etienne,RB,NO,0.0,0.0,0.0,825.5,5.5,31.5,214.0,0.5,0.0,https://assets.actionnetwork.com/200x200/cf58983d0f8348be879b5ccbea1f48e3.png,https://static.sprtactn.co/teamlogos/nfl/100/no.png,36,40,49,42.0,41.0,41,0.0,36.0,41,41,36.0,171.45,0,0,0,,0,0,0,0,0,
TreVeyon Henderson,RB,NE,0.0,0.0,0.0,700.5,6.5,28.0,206.0,1.0,0.0,https://assets.actionnetwork.com/200x200/4cdc7546b4144942b0854fee5a5bb8f1.png,https://static.sprtactn.co/teamlogos/nfl/100/ne.png,46,50,70,58.0,54.0,46,0.0,39.0,54,50,39.0,163.65,0,0,0,,0,0,0,0,0,
A.J. Brown,WR,NE,0.0,0.0,0.0,0.0,0.0,84.5,1100.5,7.5,0.0,https://assets.actionnetwork.com/200x200/ed95c86e851d4833a19a58e53523ac40.png,https://static.sprtactn.co/teamlogos/nfl/100/ne.png,18,18,27,26.0,19.0,21,19.0,29.0,22,20,24.0,239.55,0,0,0,,0,0,0,0,0,
